TimeStamp,GroundSteering,Oracle,Good,Elapsed
1584543043346066,-0.0492349,0,0,0
1584543044145938,-0.0682567,-0,0,799872
1584543044248348,-0.115941,-0,0,902282
1584543044349014,-0.107823,-0,0,1002948
1584543044445909,-0.110144,-0,0,1099843
1584543044545830,-0.0825749,-0,0,1199764
1584543044646957,-0.0600283,-0,0,1300891
1584543044747818,-0.0196817,-0,0,1401752
1584543044845795,0.040543,-0,0,1499729
1584543044945957,0.0792089,-0,0,1599891
1584543045046597,0.0836266,-0,0,1700531
1584543045149389,0.064111,-0,0,1803323
1584543045247983,0.0664903,-0,0,1901917
1584543045345771,0.0851234,-0,0,1999705
1584543045445692,0.0861468,-0,0,2099626
1584543045545908,0.0871567,0.0509833,0,2199842
1584543045646290,0.0801942,0.0779797,1,2300224
1584543045747715,0.0909363,0.0629856,0,2401649
1584543045845870,0.130685,0.0629856,0,2499804
1584543045945571,0.131123,0.0599851,0,2599505
1584543046045592,0.133556,0.0599851,0,2699526
1584543046146053,0.105065,0.0629856,0,2799987
1584543046247654,0.100828,0.0599851,0,2901588
1584543046345494,0.095426,0.0629856,0,2999428
1584543046445878,0.102152,0.0599851,0,3099812
1584543046545911,0.133643,0.0629856,0,3199845
1584543046649756,0.145595,0.0629856,0,3303690
1584543046747832,0.143699,0.0629856,0,3401766
1584543046845697,0.149527,0.0629856,0,3499631
1584543046945551,0.140553,0.0809714,0,3599485
1584543047045621,0.134031,0.0959743,0,3699555
1584543047145330,0.11046,0.0929737,1,3799264
1584543047247562,0.120048,0.0959743,0,3901496
1584543047345745,0.191543,0.116961,0,3999679
1584543047448977,0.188106,0.137956,0,4102911
1584543047545844,0.185652,0.0719785,0,4199778
1584543047646347,0.124713,0.0629856,0,4300281
1584543047747604,0.122979,0.0629856,0,4401538
1584543047845561,0.150603,0.0629856,0,4499495
1584543047945544,0.140162,0.134955,1,4599478
1584543048045230,0.142588,0.134955,1,4699164
1584543048145195,0.135105,0.134955,1,4799129
1584543048252226,0.144061,0.134955,1,4906160
1584543048345883,0.140017,0.131955,1,4999817
1584543048445385,0.123434,0.131955,1,5099319
1584543048545503,0.11959,0.134955,1,5199437
1584543048645857,0.11255,0.134955,1,5299791
1584543048747544,0.102797,0.0599851,0,5401478
1584543048845223,0.0931017,-0,0,5499157
1584543048945060,0.0972047,-0.287896,0,5598994
1584543049045391,0.0846989,-0,0,5699325
1584543049145130,0.0758635,-0,0,5799064
1584543049247735,0.0616683,-0,0,5901669
1584543049345288,0.0611564,0.278903,0,5999222
1584543049445107,0.0565932,0.290888,0,6099041
1584543049545114,0.05327,-0,0,6199048
1584543049645613,0.0717654,-0,0,6299547
1584543049747678,0.0389516,-0,0,6401612
1584543049844882,0.00324531,-0.290888,0,6498816
1584543049945066,-0.0585307,-0.290888,0,6599000
1584543050045019,-0.0641034,-0,0,6698953
1584543050144796,-0.0736021,-0,0,6798730
1584543050247337,-0.0731407,-0.0659685,1,6901271
1584543050345046,-0.0789859,-0.122953,0,6998980
1584543050444744,-0.130898,-0,0,7098678
1584543050544737,-0.124397,-0.0569756,0,7198671
1584543050645522,-0.138468,-0.134946,1,7299456
1584543050747416,-0.0776276,-0.116952,0,7401350
1584543050844637,-0.103348,-0.113951,1,7498571
1584543050944762,-0.0819636,-0.14994,0,7598696
1584543051044568,-0.0782173,-0.137947,0,7698502
1584543051144538,-0.0601612,-0,0,7798472
1584543051247572,-0.0561082,0.0120023,0,7901506
1584543051344522,-0.0577578,0.00900175,0,7998456
1584543051444478,-0.0806292,0.0209952,0,8098412
1584543051544658,-0.0410955,0.0120023,0,8198592
1584543051645139,0.0604636,-0,0,8299073
1584543051746618,0.159305,-0,0,8400552
1584543051844738,0.179302,0.0389898,0,8498672
1584543051944390,0.155477,0.0479916,0,8598324
1584543052044325,0.125442,-0,0,8698259
1584543052144497,0.153441,0.0150029,0,8798431
